,carat_encoded,cut_encoded,clarity_encoded,color_encoded,depth
0,0.0,4.0,1.0,1.0,61.5
1,0.0,3.0,2.0,1.0,59.8
2,0.0,1.0,4.0,1.0,56.9
3,0.0,3.0,3.0,5.0,62.4
4,0.0,1.0,1.0,6.0,63.3
5,0.0,2.0,5.0,6.0,62.8
6,0.0,2.0,6.0,5.0,62.3
7,0.0,2.0,2.0,4.0,61.9
8,0.0,0.0,3.0,1.0,65.1
9,0.0,2.0,4.0,4.0,59.4
10,0.0,1.0,2.0,6.0,64.0
11,0.0,4.0,4.0,6.0,62.8
12,0.0,3.0,2.0,2.0,60.4
13,0.0,4.0,1.0,6.0,62.2
14,0.0,3.0,1.0,1.0,60.2
15,0.0,3.0,0.0,1.0,60.9
16,0.0,4.0,1.0,5.0,62.0
17,0.0,1.0,2.0,6.0,63.4
18,0.0,1.0,2.0,6.0,63.8
19,0.0,2.0,2.0,6.0,62.7
20,0.0,1.0,1.0,5.0,63.3
21,0.0,2.0,3.0,1.0,63.8
22,0.0,2.0,4.0,4.0,61.0
23,0.0,2.0,2.0,6.0,59.4
24,0.0,2.0,2.0,6.0,58.1
25,0.0,2.0,5.0,3.0,60.4
26,0.0,3.0,4.0,5.0,62.5
27,0.0,2.0,3.0,6.0,62.2
28,0.0,2.0,3.0,0.0,60.5
29,0.0,2.0,4.0,2.0,60.9
30,0.0,2.0,4.0,2.0,60.0
31,0.0,2.0,4.0,2.0,59.8
32,0.0,2.0,4.0,1.0,60.7
33,0.0,2.0,4.0,1.0,59.5
34,0.0,2.0,4.0,0.0,61.9
35,0.0,1.0,4.0,2.0,58.2
36,0.0,1.0,4.0,1.0,64.1
37,0.0,1.0,2.0,4.0,64.0
38,0.0,2.0,3.0,0.0,60.8
39,0.0,4.0,1.0,5.0,61.8
40,0.0,4.0,1.0,5.0,61.2
41,0.0,4.0,2.0,6.0,61.1
42,0.0,1.0,3.0,0.0,65.2
43,0.0,1.0,4.0,0.0,58.4
44,0.0,1.0,1.0,4.0,63.1
45,0.0,3.0,2.0,2.0,62.4
46,0.0,2.0,1.0,4.0,61.8
47,0.0,1.0,1.0,4.0,63.8
48,0.0,2.0,3.0,1.0,63.3
49,0.0,2.0,1.0,4.0,60.7
50,0.0,2.0,2.0,2.0,60.9
51,0.0,4.0,4.0,3.0,61.9
52,0.0,4.0,2.0,5.0,60.9
53,0.0,3.0,3.0,1.0,61.6
54,0.0,3.0,3.0,0.0,59.3
55,0.0,4.0,1.0,5.0,61.0
56,0.0,3.0,1.0,6.0,59.3
57,0.0,2.0,2.0,5.0,62.6
58,0.0,2.0,2.0,5.0,63.0
59,0.0,1.0,2.0,5.0,63.2
60,0.0,4.0,4.0,5.0,60.9
61,0.0,3.0,2.0,0.0,62.6
62,0.0,4.0,2.0,0.0,62.5
63,0.0,4.0,2.0,0.0,62.1
64,0.0,3.0,1.0,5.0,61.5
65,0.0,4.0,5.0,3.0,61.4
66,0.0,4.0,6.0,5.0,62.0
67,0.0,2.0,2.0,3.0,63.3
68,0.0,3.0,2.0,3.0,61.8
69,0.0,3.0,6.0,1.0,60.7
70,0.0,2.0,6.0,0.0,61.5
71,0.0,2.0,2.0,4.0,63.1
72,0.0,3.0,2.0,4.0,62.9
73,0.0,3.0,2.0,4.0,62.5
74,0.0,1.0,2.0,4.0,63.7
75,0.0,2.0,5.0,2.0,59.2
76,0.0,2.0,5.0,1.0,59.9
77,0.0,2.0,5.0,0.0,62.4
78,0.0,2.0,5.0,0.0,62.8
79,0.0,2.0,6.0,1.0,62.6
80,0.0,2.0,6.0,1.0,63.4
81,0.0,2.0,6.0,0.0,62.1
82,0.0,4.0,5.0,1.0,62.9
83,0.0,4.0,1.0,5.0,61.6
84,0.0,1.0,6.0,1.0,57.9
85,0.0,3.0,6.0,3.0,62.3
86,0.0,3.0,6.0,4.0,61.2
87,0.0,3.0,6.0,4.0,60.8
88,0.0,3.0,5.0,4.0,60.7
89,0.0,3.0,2.0,5.0,62.9
90,1.0,4.0,2.0,1.0,62.5
91,1.0,0.0,1.0,1.0,55.1
92,1.0,4.0,3.0,3.0,61.6
93,1.0,2.0,3.0,1.0,62.4
94,1.0,2.0,1.0,3.0,63.8
95,1.0,1.0,3.0,1.0,57.5
96,1.0,1.0,4.0,2.0,59.4
97,1.0,0.0,1.0,2.0,66.3
98,1.0,2.0,2.0,1.0,61.6
99,1.0,3.0,2.0,4.0,61.5
100,1.0,2.0,2.0,0.0,63.2
101,1.0,3.0,2.0,1.0,59.9
102,1.0,4.0,2.0,3.0,61.6
103,1.0,3.0,3.0,3.0,61.7
104,1.0,4.0,4.0,5.0,62.9
105,1.0,4.0,2.0,3.0,62.2
106,1.0,3.0,2.0,3.0,63.0
107,1.0,4.0,5.0,5.0,62.3
108,1.0,4.0,1.0,2.0,58.8
109,1.0,4.0,5.0,1.0,62.0
110,1.0,4.0,1.0,2.0,61.4
111,1.0,4.0,1.0,1.0,62.2
112,1.0,3.0,3.0,5.0,63.0
113,1.0,2.0,2.0,3.0,62.2
114,1.0,4.0,3.0,2.0,62.6
115,1.0,4.0,3.0,2.0,62.7
116,1.0,3.0,1.0,2.0,61.7
117,1.0,4.0,3.0,3.0,62.4
118,1.0,4.0,3.0,1.0,60.7
119,1.0,4.0,1.0,2.0,59.9
120,1.0,4.0,1.0,0.0,62.3
121,1.0,4.0,2.0,1.0,62.3
122,1.0,2.0,3.0,2.0,61.7
123,1.0,0.0,3.0,2.0,64.5
124,1.0,0.0,3.0,2.0,65.3
125,1.0,3.0,3.0,2.0,61.6
126,1.0,3.0,2.0,4.0,61.4
127,1.0,2.0,5.0,0.0,59.6
128,1.0,0.0,1.0,4.0,64.4
129,1.0,0.0,1.0,4.0,65.7
130,1.0,4.0,3.0,4.0,62.0
131,1.0,2.0,2.0,0.0,63.6
132,1.0,4.0,2.0,0.0,61.9
133,1.0,2.0,3.0,1.0,62.6
134,1.0,2.0,4.0,4.0,61.3
135,1.0,3.0,6.0,1.0,60.9
136,1.0,2.0,4.0,2.0,60.1
137,1.0,3.0,4.0,2.0,61.8
138,1.0,4.0,2.0,4.0,61.2
139,1.0,4.0,6.0,3.0,61.9
140,1.0,3.0,3.0,3.0,60.9
141,1.0,3.0,3.0,3.0,59.8
142,1.0,2.0,3.0,0.0,61.8
143,1.0,2.0,4.0,2.0,60.0
144,1.0,4.0,1.0,0.0,61.6
145,1.0,1.0,5.0,4.0,62.1
146,1.0,2.0,4.0,3.0,63.3
147,1.0,2.0,2.0,0.0,60.2
148,1.0,2.0,2.0,0.0,61.1
149,1.0,4.0,2.0,1.0,60.9
150,1.0,3.0,1.0,0.0,61.7
151,1.0,4.0,2.0,5.0,61.3
152,1.0,3.0,3.0,0.0,62.5
153,1.0,3.0,3.0,3.0,61.4
154,1.0,2.0,2.0,2.0,62.9
155,1.0,4.0,1.0,0.0,62.4
156,1.0,4.0,2.0,2.0,60.7
157,1.0,3.0,3.0,3.0,60.7
158,1.0,3.0,4.0,3.0,61.5
159,1.0,4.0,1.0,0.0,59.9
160,1.0,3.0,3.0,3.0,59.2
161,1.0,2.0,5.0,4.0,60.3
162,1.0,2.0,2.0,2.0,61.7
163,1.0,4.0,3.0,3.0,61.9
164,1.0,4.0,1.0,2.0,61.9
165,1.0,2.0,6.0,4.0,60.4
166,1.0,2.0,1.0,2.0,61.0
167,1.0,4.0,6.0,3.0,61.5
168,1.0,4.0,6.0,2.0,61.7
169,1.0,1.0,3.0,1.0,59.2
170,1.0,4.0,1.0,0.0,61.3
171,1.0,3.0,3.0,0.0,58.0
172,1.0,2.0,0.0,6.0,60.2
173,1.0,4.0,4.0,1.0,61.7
174,1.0,4.0,2.0,1.0,62.7
